name,title,web,phd,msc,bsc
Amin Arbabian,Assistant Professor,http://profiles.stanford.edu/amin-arbabian,"UC Berkeley, Electrical Engineering and Computer Sciences  (2011)","UC Berkeley, Electrical Engineering and Computer Sciences  (2007)","Sharif University of Technology, Electrical Engineering  (2005)"
Nicholas Bambos,Professor,http://profiles.stanford.edu/nicholas-bambos,"UC Berkeley, Electrical Engineering and Computer Sciences  (1989)","UC Berkeley, Mathematics  (1989)",0
Kwabena Boahen,Professor,http://profiles.stanford.edu/kwabena-boahen,Caltech (1997),0,0
Dan Boneh,Professor,http://profiles.stanford.edu/dan-boneh,Princeton (1996),0,0
Stephen P. Boyd,Professor,http://profiles.stanford.edu/stephen-boyd,"UC Berkeley, EECS  (1985)",0,"Harvard University, Mathematics  (1980)"
Bill Dally,Professor (Research),http://profiles.stanford.edu/william-dally,Caltech (1986),0,0
John Duchi,Assistant Professor,http://profiles.stanford.edu/john-duchi,"University of California, Berkeley, EECS  (2014)","Stanford University, Computer Science  (2008)","Stanford University, Computer Science  (2007)"
Robert Dutton,Professor,http://profiles.stanford.edu/robert-dutton,UC Berkeley (1970),0,0
Abbas El Gamal,Professor,http://profiles.stanford.edu/abbas-el-gamal,Stanford University (1978),0,0
Dawson Engler,Associate Professor,http://profiles.stanford.edu/dawson-engler,MIT (1998),0,0
Jonathan Fan,Assistant Professor,http://profiles.stanford.edu/jonathan-fan,"Harvard University, Applied Physics  (2010)","Harvard University, Applied Physics  (2006)","Princeton University, Electrical Engineering  (2004)"
Shanhui Fan,Professor,http://profiles.stanford.edu/shanhui-fan,"MIT, Physics  (1997)",0,0
Bernd Girod,Professor,http://profiles.stanford.edu/bernd-girod,0,"of Science, Georgia Institute of Technology, Electrical Engineering  (1980)",0
Andrea Goldsmith,Professor,http://profiles.stanford.edu/andrea-goldsmith,"University of California, Berkeley, Electrical Engineering and Computer Science  (1994)",0,0
Patrick M. Hanrahan,Professor,http://profiles.stanford.edu/patrick-hanrahan,Wisconsin (1986),0,0
James S. Harris,Professor,http://profiles.stanford.edu/james-harris,"Stanford University, Electrical Engineering  (1969)","Stanford University, Electrical Engineering  (1965)","Stanford University, Electrical Engineering  (1964)"
John L. Hennessy,Professor,https://hennessy.stanford.edu,0,0,0
Lambertus Hesselink,Professor,http://profiles.stanford.edu/lambertus-hesselink,"Caltech, Applied Mechanics and Physics/Applied Physics  (1977)","Caltech, Applied Mechanics and Physics  (1972)","Twente Univeristy, Applied Mechanics and Physics  (1970)"
Mark A. Horowitz,Professor,http://profiles.stanford.edu/mark-horowitz,Stanford University (1984),MIT (1978),MIT (1978)
Roger T. Howe,Professor,http://profiles.stanford.edu/roger-howe,UC Berkeley (1984),0,0
Joseph M. Kahn,Professor,http://profiles.stanford.edu/joseph-kahn,"University of California, Berkeley, Physics  (1986)","University of California, Berkeley, Physics  (1983)","University of California, Berkeley, Physics  (1981)"
Sachin Katti,Associate Professor,http://profiles.stanford.edu/sachin-katti,MIT (2009),0,0
Butrus Khuri-Yakub,Professor (Research),http://profiles.stanford.edu/butrus-khuri-yakub,Stanford University (1975),Dartmouth College (1972),American University of Beirut (1970)
Christos Kozyrakis,Professor,http://profiles.stanford.edu/christoforos-kozyrakis,"University of California at Berkeley, Computer Science  (2002)",0,0
Sanjay Lall,Professor,http://profiles.stanford.edu/sanjay-lall,Cambridge (1995),0,0
Thomas Lee,Professor,http://profiles.stanford.edu/thomas-lee,0,0,0
Philip Levis,Associate Professor,http://profiles.stanford.edu/philip-levis,"UC Berkeley, Computer Science, Electrical Engineering  (2005)",0,0
Nick McKeown,Professor,http://profiles.stanford.edu/nick-mckeown,UC Berkeley (1995),0,0
David A. B. Miller,Professor,http://profiles.stanford.edu/david-miller,Heriot-Watt University (1979),0,0
Subhasish Mitra,Professor,http://profiles.stanford.edu/subhasish-mitra,Stanford University (2000),0,0
Andrea Montanari,Professor,http://profiles.stanford.edu/andrea-montanari,"Scuola Normale Superiore, Pisa, Italy (2001)",0,0
Boris Murmann,Professor,http://profiles.stanford.edu/boris-murmann,UC Berkeley (2003),0,0
Dwight G. Nishimura,Professor,http://profiles.stanford.edu/dwight-nishimura,0,0,0
Kunle A. Olukotun,Professor,http://profiles.stanford.edu/oyekunle-olukotun,Michigan (1991),0,0
Brad Osgood,Professor,http://profiles.stanford.edu/brad-osgood,Michigan (1980),0,0
Ayfer Ozgur,Assistant Professor,http://profiles.stanford.edu/ayfer-ozgur-aydin,Ecole Polytechnique Federale de Lausanne (2009),"Middle East Technical University, Turkey, Electrical Engineering  (2005)","Middle East Technical University, Turkey, Electrical Engineering  (2001)"
John M. Pauly,Professor,http://profiles.stanford.edu/john-pauly,Stanford University (1990),0,0
Piero A. Pianetta,Professor (Research),http://profiles.stanford.edu/piero-pianetta,"Stanford University, Applied Physics  (1977)","Stanford University, Applied Physics  (1973)","Santa Clara University, Physics  (1971)"
Mert Pilanci,Assistant Professor,http://profiles.stanford.edu/mert-pilanci,"University of California, Berkeley, Electrical Engineering and Computer Science  (2016)",0,0
James D. Plummer,Professor,http://profiles.stanford.edu/jim-plummer,"Stanford, Electrical Engineering  (1971)","Stanford, Electrical Engineering  (1967)","UCLA, Electrical Engineering  (1966)"
Ada Poon,Associate Professor,http://profiles.stanford.edu/ada-poon,"UC Berkeley, Electrical Engineering  (2004)","UC Berkeley, Electrical Engineering  (1999)","University of Hong Kong, Electrical and Electronic Engineering  (1996)"
Eric Pop,Associate Professor,http://profiles.stanford.edu/epop,"Stanford University, Electrical Engineering  (2005)","MIT, EECS  (1999)","MIT, EECS  (1999)"
Balaji Prabhakar,Professor,http://profiles.stanford.edu/balaji-prabhakar,UCLA (1994),0,0
Juan Rivas,Assistant Professor,http://profiles.stanford.edu/juan-rivas-davila,0,0,"ITESM, Mexico City Campus, Electrical and Communications Engineering  (1998)"
Mendel Rosenblum,Professor,http://profiles.stanford.edu/mendel-rosenblum,UC Berkeley (1992),UC Berkeley (1989),University of Virginia (1984)
Krishna Saraswat,Professor,http://profiles.stanford.edu/krishna-saraswat,"Stanford University, EE  (1974)","Stanford University, EE  (1969)","BITS Pilani, India, Electronics  (1968)"
Krishna Shenoy,Professor,http://profiles.stanford.edu/krishna-shenoy,"MIT, Electrical Engineering  (1995)",0,"University of California, Irvine, Electrical Engineering  (1990)"
H. Tom Soh,Professor,http://profiles.stanford.edu/hyongsok-soh,"Stanford University, Electrical Engineering  (1999)","Stanford University, Electrical Engineering  (1995)","Cornell University, Mechanical Engineering and Materials Science and Engineering (Double Major)  (1992)"
Olav Solgaard,Professor,http://profiles.stanford.edu/olav-solgaard,Stanford (1992),0,0
Fouad A. Tobagi,Professor,http://profiles.stanford.edu/fouad-tobagi,UCLA (1974),0,0
David Tse,Professor,http://profiles.stanford.edu/david-tse,0,0,0
Benjamin Van Roy,Professor,http://profiles.stanford.edu/benjamin-van-roy,"Massachusetts Institute of Technology, Electrical Engineering and Computer Science  (1998)","Massachusetts Institute of Technology, Electrical Engineering and Computer Science  (1995)","Massachusetts Institute of Technology, Computer Science and Engineering  (1993)"
Jelena Vuckovic,Professor,http://profiles.stanford.edu/jelena-vuckovic,California Institute of Technology (Caltech) (2002),0,0
Shan X. Wang,Professor,http://profiles.stanford.edu/shan-wang,"Carnegie Mellon University, Electrical and Computer Engineering  (1993)",0,0
Tsachy Weissman,Professor,http://profiles.stanford.edu/itschak-weissman,"Technion-Israel Institute of Technology, Electrical Engineering  (2001)",0,"Technion-Israel Institute of Technology, Electrical Engineering  (1997)"
Gordon Wetzstein,Assistant Professor,http://profiles.stanford.edu/gordon-wetzstein,"University of British Columbia, Computer Science  (2011)",0,0
Jennifer Widom,Professor,http://profiles.stanford.edu/jennifer-widom,"Cornell University, Computer Science  (1987)",0,"Indiana University, Music  (1982)"
H.-S. Philip Wong,Professor,http://profiles.stanford.edu/philip-wong,Lehigh (1988),0,0
S. Simon Wong,Professor,http://profiles.stanford.edu/s-simon-wong,UC Berkeley (1983),0,0
Howard Zebker,Professor,http://profiles.stanford.edu/howard-zebker,Stanford University (1984),"University of California at Los Angeles, Engineering  (1979)","California Institute of Technology, Engineering and Applied Science  (1976)"
